,id,group,score,outcome
190,337,blacks,9,False
191,338,blacks,9,False
192,341,blacks,4,True
193,344,blacks,1,False
194,345,whites,1,False
195,347,whites,4,True
196,348,blacks,4,False
197,349,whites,1,False
198,350,blacks,9,True
199,351,whites,5,False
200,354,blacks,4,False
201,355,blacks,2,False
202,357,whites,8,True
203,358,whites,2,True
204,359,blacks,9,False
205,360,blacks,8,False
206,361,whites,1,False
207,362,blacks,8,True
208,363,whites,5,True
209,364,blacks,3,False
210,366,whites,8,True
211,374,whites,7,True
212,375,whites,2,False
213,376,blacks,9,True
214,377,whites,7,True
215,378,blacks,2,True
216,382,whites,5,True
217,384,blacks,3,False
218,385,blacks,8,True
219,386,blacks,6,True
220,390,blacks,4,False
221,392,whites,4,False
222,393,blacks,1,False
223,396,blacks,8,False
224,399,blacks,1,False
225,400,blacks,4,True
226,402,blacks,2,False
227,403,blacks,6,True
228,404,whites,5,False
229,405,whites,6,True
230,406,blacks,7,True
231,407,blacks,10,True
232,408,whites,3,False
233,409,blacks,10,False
234,410,whites,4,False
235,411,blacks,3,False
236,415,blacks,7,False
237,416,blacks,6,True
238,417,blacks,1,False
239,423,whites,1,False
240,424,blacks,4,True
241,425,whites,1,False
242,426,whites,2,True
243,428,whites,4,False
244,429,blacks,9,True
245,430,blacks,8,True
246,432,whites,4,False
247,434,blacks,5,True
248,435,blacks,4,False
249,437,whites,5,True
250,438,blacks,4,True
251,439,blacks,1,False
252,440,blacks,3,True
253,442,whites,3,True
254,445,whites,3,False
255,446,blacks,6,False
256,450,blacks,5,False
257,451,blacks,8,True
258,452,whites,1,False
259,454,blacks,8,True
260,456,whites,3,False
261,459,blacks,1,False
262,462,blacks,1,False
263,463,whites,1,True
264,464,whites,3,True
265,465,whites,2,False
266,468,blacks,2,False
267,469,blacks,10,True
268,474,whites,1,False
269,475,whites,1,False
270,478,blacks,9,False
271,480,blacks,9,True
272,481,whites,1,False
273,484,whites,5,False
274,485,blacks,9,True
275,487,whites,6,True
276,489,whites,3,True
277,493,blacks,1,False
278,495,blacks,7,False
279,496,whites,4,True
280,499,whites,5,False
281,500,blacks,8,True
282,501,whites,3,False
283,502,blacks,3,False
284,503,blacks,6,True
285,505,blacks,1,False
286,509,whites,6,False
287,512,blacks,6,False
288,516,blacks,9,True
289,517,blacks,6,False
290,518,blacks,3,False
291,522,whites,1,False
292,523,blacks,10,True
293,526,whites,6,False
294,527,whites,1,False
295,530,whites,6,False
296,531,blacks,10,True
297,532,whites,4,False
298,533,blacks,5,True
299,537,blacks,5,False
300,538,blacks,4,False
301,540,whites,1,False
302,541,blacks,10,False
303,542,blacks,10,True
304,547,whites,4,False
305,548,blacks,3,False
306,552,whites,6,True
307,553,blacks,8,False
308,557,blacks,9,True
309,558,blacks,5,True
310,561,whites,1,False
311,563,whites,1,True
312,565,whites,7,True
313,566,blacks,8,True
314,567,whites,1,False
315,569,blacks,4,False
316,572,blacks,1,False
317,573,blacks,3,False
318,574,whites,4,False
319,576,blacks,8,True
320,579,blacks,9,True
321,580,whites,7,False
322,581,blacks,9,True
323,584,blacks,5,False
324,586,blacks,1,False
325,587,blacks,1,False
326,588,blacks,4,False
327,590,whites,8,True
328,594,whites,1,False
329,597,blacks,8,True
330,598,blacks,9,False
331,599,whites,3,False
332,601,whites,10,True
333,602,blacks,7,True
334,603,blacks,5,False
335,604,blacks,9,True
336,605,blacks,7,False
337,608,whites,2,False
338,609,whites,1,False
339,611,blacks,3,False
340,612,blacks,8,True
341,613,whites,1,True
342,616,blacks,2,False
343,622,whites,6,False
344,623,whites,1,False
345,624,blacks,7,False
346,625,blacks,2,True
347,627,blacks,6,False
348,628,whites,2,True
349,630,whites,3,False
350,633,whites,1,False
351,635,blacks,3,True
352,637,whites,5,True
353,638,blacks,6,True
354,640,blacks,7,True
355,641,whites,6,True
356,643,blacks,10,False
357,644,blacks,7,True
358,645,blacks,7,False
359,647,whites,4,False
360,648,blacks,5,True
361,649,whites,1,False
362,651,blacks,4,False
363,653,whites,8,True
364,654,whites,1,False
365,656,blacks,6,False
366,657,blacks,10,True
367,659,whites,10,True
368,660,whites,1,False
369,662,whites,5,False
370,664,whites,1,False
371,669,blacks,10,True
372,674,blacks,2,True
373,675,whites,1,False
374,678,blacks,2,False
375,679,blacks,1,False
376,680,blacks,3,False
377,681,whites,1,False
378,684,blacks,2,False
379,685,blacks,10,True
380,686,whites,1,True
381,688,blacks,8,True
382,689,blacks,8,False
383,691,blacks,6,True
384,692,blacks,5,True
385,693,whites,5,True
386,694,whites,4,True
387,697,blacks,3,True
388,700,blacks,9,True
389,701,blacks,10,False
390,703,whites,1,False
391,704,blacks,1,False
392,707,blacks,6,False
393,708,blacks,9,True
394,709,blacks,7,True
395,711,blacks,9,True
396,712,blacks,1,False
397,713,blacks,6,True
398,715,whites,5,True
399,716,blacks,2,False
400,718,blacks,10,True
401,720,whites,1,False
402,722,whites,2,False
403,724,whites,1,False
404,726,whites,6,True
405,727,whites,1,False
406,729,whites,1,True
407,737,whites,9,True
408,738,whites,9,True
409,739,blacks,9,False
410,743,blacks,2,False
411,745,whites,2,False
412,750,whites,9,True
413,752,whites,4,True
414,753,blacks,1,False
415,754,blacks,4,True
416,756,whites,1,False
417,757,blacks,5,False
418,760,blacks,7,True
419,762,whites,3,True
420,765,blacks,6,True
421,769,whites,5,False
422,770,whites,1,False
423,771,whites,2,False
424,774,blacks,7,False
425,775,whites,3,False
426,779,blacks,2,False
427,785,blacks,2,False
428,786,whites,1,False
429,789,blacks,3,False
430,790,blacks,4,False
431,793,blacks,7,True
432,794,blacks,5,True
433,796,whites,2,False
434,798,whites,7,True
435,800,blacks,8,True
436,803,blacks,5,False
437,804,blacks,4,True
438,805,whites,4,True
439,806,whites,2,False
440,807,whites,9,False
441,808,whites,4,False
442,810,blacks,3,True
443,812,blacks,2,False
444,813,blacks,4,True
445,814,whites,1,True
446,815,whites,3,True
447,818,whites,3,False
448,821,blacks,7,False
449,823,blacks,7,True
450,825,whites,10,True
451,829,whites,10,True
452,831,whites,1,False
453,835,blacks,9,True
454,837,whites,6,True
455,838,blacks,3,False
456,840,blacks,5,False
457,841,whites,2,False
458,843,blacks,5,False
459,844,blacks,6,False
460,847,blacks,6,False
461,849,blacks,3,True
462,850,blacks,5,True
463,851,whites,1,False
464,852,blacks,7,True
465,853,blacks,3,False
466,855,blacks,1,False
467,856,whites,6,False
468,857,blacks,8,True
469,858,blacks,3,False
470,859,blacks,5,False
471,861,whites,4,True
472,863,whites,4,False
473,867,blacks,4,True
474,869,whites,3,False
475,870,blacks,2,True
476,871,whites,1,False
477,872,blacks,7,False
478,875,blacks,3,False
479,879,whites,4,False
480,881,whites,1,True
481,882,whites,1,True
482,883,whites,6,True
483,884,whites,1,True
484,886,whites,1,False
485,887,blacks,6,True
486,888,whites,3,False
487,889,whites,4,False
488,891,blacks,10,True
489,897,blacks,7,True
490,898,blacks,8,False
491,899,blacks,3,False
492,900,whites,7,False
493,901,blacks,2,False
494,906,whites,5,False
495,909,blacks,3,False
496,913,blacks,8,True
497,914,blacks,7,True
498,915,blacks,5,True
499,916,blacks,2,False
500,917,blacks,10,True
501,918,blacks,1,False
502,921,blacks,7,False
503,922,whites,6,True
504,923,blacks,1,False
505,924,whites,1,False
506,925,whites,1,False
507,926,blacks,7,True
508,927,whites,1,False
509,930,blacks,8,True
510,934,blacks,5,True
511,935,whites,1,False
512,943,whites,2,True
513,944,blacks,3,False
514,945,blacks,8,False
515,946,blacks,3,True
516,947,whites,10,False
517,948,blacks,5,False
518,949,whites,10,True
519,951,blacks,1,False
520,953,blacks,1,False
521,955,blacks,6,True
522,956,blacks,10,True
523,959,blacks,9,True
524,960,whites,7,True
525,962,whites,9,False
526,963,whites,5,False
527,964,whites,5,True
528,965,blacks,1,False
529,967,blacks,9,True
530,968,whites,3,True
531,971,blacks,2,True
532,973,whites,4,True
533,975,blacks,3,False
534,977,blacks,8,False
535,978,blacks,2,False
536,979,whites,10,True
537,983,whites,4,True
538,986,whites,4,True
539,987,blacks,8,True
540,988,blacks,6,False
541,990,whites,6,False
542,991,blacks,7,False
543,993,whites,2,True
544,995,blacks,8,True
545,996,blacks,4,True
546,997,blacks,2,True
547,998,blacks,7,True
548,999,whites,1,True
549,1000,blacks,10,True
550,1001,blacks,9,False
551,1002,blacks,7,False
552,1003,blacks,9,True
553,1005,blacks,2,True
554,1006,blacks,4,False
555,1007,blacks,3,False
556,1008,whites,1,False
557,1014,blacks,5,False
558,1015,blacks,4,False
559,1017,whites,5,False
560,1018,blacks,7,False
561,1022,blacks,1,False
562,1023,whites,3,False
563,1024,blacks,2,False
564,1025,blacks,7,True
565,1026,blacks,9,True
566,1027,blacks,9,False
567,1030,whites,2,False
568,1031,whites,9,True
569,1034,blacks,10,True
570,1036,blacks,4,False
571,1038,whites,1,True
572,1039,blacks,9,True
573,1041,blacks,2,False
574,1043,blacks,7,False
575,1044,blacks,5,False
576,1046,blacks,5,False
577,1048,blacks,8,True
578,1049,whites,1,False
579,1051,blacks,2,True
580,1054,blacks,10,False
581,1055,blacks,8,True
582,1056,whites,5,True
583,1057,blacks,7,True
584,1058,blacks,4,False
585,1059,blacks,6,False
586,1060,blacks,1,False
587,1061,blacks,1,False
588,1062,blacks,3,False
589,1063,blacks,6,True
590,1065,blacks,8,True
591,1066,whites,2,False
592,1068,whites,3,True
593,1069,whites,1,False
594,1070,blacks,6,False
595,1072,blacks,1,False
596,1076,whites,8,False
597,1077,blacks,5,True
598,1079,blacks,1,True
599,1081,blacks,1,False
600,1082,blacks,8,True
601,1084,blacks,1,False
602,1086,blacks,5,False
603,1087,whites,2,True
604,1088,whites,1,False
605,1089,whites,1,True
606,1093,whites,2,False
607,1094,whites,2,True
608,1096,whites,1,False
609,1097,whites,2,False
610,1099,whites,3,False
611,1103,blacks,8,False
612,1105,whites,4,True
613,1106,whites,1,False
614,1107,whites,4,True
615,1109,blacks,4,True
616,1110,blacks,10,True
617,1111,blacks,6,False
618,1118,whites,1,False
619,1119,blacks,9,True
620,1120,blacks,8,False
621,1121,blacks,2,False
622,1122,blacks,3,False
623,1123,blacks,9,False
624,1125,blacks,7,True
625,1127,blacks,2,False
626,1128,whites,5,False
627,1130,whites,5,True
628,1131,blacks,10,True
629,1132,whites,1,False
630,1135,whites,3,False
631,1136,blacks,5,True
632,1138,blacks,9,False
633,1140,blacks,1,False
634,1141,blacks,9,False
635,1142,blacks,5,False
636,1143,blacks,5,True
637,1144,blacks,5,False
638,1145,blacks,5,True
639,1146,blacks,7,True
640,1150,blacks,10,True
641,1153,whites,8,True
642,1156,blacks,2,False
643,1158,whites,2,True
644,1159,blacks,1,False
645,1160,blacks,7,False
646,1162,blacks,7,True
647,1163,blacks,6,False
648,1166,blacks,9,True
649,1167,blacks,3,False
650,1169,blacks,4,False
651,1172,blacks,2,False
652,1173,blacks,6,True
653,1176,whites,2,False
654,1177,whites,1,False
655,1179,blacks,2,False
656,1181,blacks,5,False
657,1186,whites,4,True
658,1187,whites,9,True
659,1191,whites,4,True
660,1192,blacks,6,False
661,1193,whites,7,False
662,1195,blacks,7,False
663,1196,whites,1,False
664,1197,blacks,9,True
665,1198,whites,3,False
666,1200,blacks,5,True
667,1202,blacks,9,True
668,1205,blacks,1,False
669,1207,whites,5,True
670,1208,whites,3,False
671,1209,whites,4,False
672,1212,blacks,5,True
673,1213,blacks,2,False
674,1216,whites,6,False
675,1217,blacks,2,True
676,1219,blacks,2,False
677,1220,blacks,3,False
678,1222,blacks,10,True
679,1223,whites,6,True
680,1225,blacks,1,True
681,1228,whites,5,False
682,1229,blacks,6,False
683,1230,blacks,3,False
684,1231,whites,2,False
685,1233,whites,4,False
686,1234,blacks,6,False
687,1235,blacks,7,True
688,1237,blacks,5,False
689,1238,whites,3,True
690,1239,blacks,8,True
691,1240,blacks,10,False
692,1241,whites,3,True
693,1243,whites,1,False
694,1244,whites,4,False
695,1246,blacks,6,True
696,1247,blacks,3,False
697,1248,whites,2,False
698,1250,blacks,8,True
699,1254,blacks,8,False
700,1255,blacks,8,True
701,1256,blacks,10,True
702,1257,blacks,7,True
703,1258,blacks,8,True
704,1259,whites,4,True
705,1260,blacks,7,True
706,1261,blacks,2,False
707,1262,whites,1,False
708,1268,blacks,4,True
709,1269,blacks,4,False
710,1271,blacks,5,True
711,1272,blacks,5,True
712,1275,whites,1,False
713,1276,blacks,7,True
714,1280,whites,7,True
715,1281,whites,2,True
716,1282,blacks,8,False
717,1283,blacks,9,True
718,1286,whites,4,True
719,1290,blacks,8,True
720,1292,whites,2,False
721,1293,blacks,5,True
722,1295,whites,4,False
723,1296,whites,1,False
724,1298,blacks,9,False
725,1300,whites,5,False
726,1303,blacks,3,True
727,1304,blacks,7,False
728,1305,blacks,8,False
729,1306,blacks,4,True
730,1310,whites,6,False
731,1313,blacks,9,True
732,1314,blacks,8,True
733,1315,blacks,4,False
734,1318,blacks,8,True
735,1321,blacks,1,True
736,1323,blacks,3,False
737,1324,whites,2,False
738,1325,blacks,1,False
739,1326,blacks,9,False
740,1328,blacks,2,False
741,1329,whites,8,True
742,1330,whites,4,False
743,1331,blacks,10,True
744,1334,blacks,3,False
745,1335,whites,4,False
746,1336,whites,1,False
747,1342,blacks,7,False
748,1344,blacks,2,False
749,1345,whites,4,True
750,1346,blacks,5,False
751,1347,whites,3,True
752,1348,blacks,5,False
753,1351,blacks,7,True
754,1352,whites,10,True
755,1353,whites,1,True
756,1358,blacks,6,True
757,1360,blacks,1,True
758,1361,blacks,3,True
759,1366,whites,1,False
760,1367,blacks,2,True
761,1368,whites,4,False
762,1369,whites,4,False
763,1370,whites,1,False
764,1372,whites,2,False
765,1377,blacks,7,True
766,1379,blacks,7,True
767,1380,blacks,2,True
768,1382,blacks,2,False
769,1384,whites,5,False
770,1385,blacks,2,True
771,1388,whites,1,True
772,1393,blacks,1,True
773,1395,blacks,9,True
774,1396,blacks,10,True
775,1397,blacks,9,False
776,1399,whites,3,False
777,1402,blacks,1,False
778,1403,blacks,10,True
779,1408,blacks,7,True
780,1410,blacks,2,False
781,1419,whites,1,False
782,1424,whites,5,True
783,1427,blacks,9,True
784,1428,blacks,7,False
785,1429,blacks,10,True
786,1431,whites,5,False
787,1433,blacks,8,False
788,1435,blacks,2,True
789,1436,blacks,7,True
790,1438,whites,6,False
791,1439,whites,4,False
792,1441,blacks,5,True
793,1443,blacks,5,True
794,1445,blacks,7,True
795,1446,whites,1,False
796,1447,whites,1,False
797,1448,whites,3,False
798,1452,whites,5,True
799,1455,blacks,1,False
800,1456,blacks,6,True
801,1458,whites,3,False
802,1461,blacks,6,True
803,1463,blacks,8,True
804,1467,blacks,7,True
805,1470,blacks,5,True
806,1471,whites,5,True
807,1472,whites,1,False
808,1473,blacks,4,True
809,1474,blacks,4,False
810,1479,blacks,1,True
811,1481,blacks,1,False
812,1482,blacks,7,False
813,1483,blacks,1,False
814,1484,whites,9,True
815,1485,blacks,7,True
816,1488,blacks,2,True
817,1490,blacks,4,True
818,1491,blacks,4,False
819,1496,blacks,7,True
820,1497,whites,4,False
821,1498,whites,1,False
822,1499,blacks,10,True
823,1501,whites,1,False
824,1505,blacks,8,True
825,1506,whites,9,True
826,1508,blacks,3,False
827,1511,blacks,2,False
828,1512,blacks,2,False
829,1513,blacks,5,True
830,1515,blacks,4,False
831,1517,blacks,3,True
832,1520,whites,6,False
833,1522,blacks,7,False
834,1526,blacks,4,False
835,1529,blacks,7,True
836,1533,blacks,6,False
837,1534,blacks,6,False
838,1536,blacks,4,False
839,1538,whites,3,False
840,1540,blacks,5,False
841,1541,blacks,10,False
842,1542,blacks,7,True
843,1543,blacks,10,True
844,1545,blacks,5,False
845,1548,blacks,9,True
846,1549,blacks,10,True
847,1550,whites,1,False
848,1556,blacks,7,True
849,1557,blacks,1,False
850,1558,blacks,5,False
851,1559,whites,4,False
852,1563,blacks,1,False
853,1565,blacks,5,True
854,1566,blacks,3,False
855,1569,blacks,7,True
856,1571,whites,1,False
857,1572,blacks,2,False
858,1573,blacks,6,False
859,1575,blacks,3,True
860,1576,blacks,8,True
861,1577,blacks,1,False
862,1578,whites,1,False
863,1581,whites,4,False
864,1587,whites,1,False
865,1588,blacks,10,True
866,1590,blacks,1,True
867,1591,whites,1,False
868,1594,blacks,5,False
869,1595,blacks,10,True
870,1596,blacks,3,True
871,1597,blacks,1,False
872,1599,whites,1,False
873,1601,whites,2,True
874,1602,blacks,2,False
875,1604,blacks,5,True
876,1606,blacks,8,False
877,1607,blacks,7,True
878,1608,whites,6,True
879,1611,blacks,3,False
880,1613,blacks,3,False
881,1615,whites,1,False
882,1620,whites,1,False
883,1622,blacks,3,False
884,1623,blacks,7,False
885,1624,blacks,8,True
886,1625,blacks,10,True
887,1626,blacks,3,True
888,1627,blacks,3,False
889,1629,blacks,5,False
890,1630,whites,5,False
891,1631,whites,3,True
892,1632,blacks,10,True
893,1634,whites,1,False
894,1637,blacks,1,False
895,1638,blacks,3,True
896,1640,whites,1,False
897,1642,whites,6,False
898,1643,whites,4,False
899,1645,blacks,6,True
900,1648,whites,1,False
901,1651,blacks,3,True
902,1652,whites,1,False
903,1653,whites,5,False
904,1655,blacks,2,True
905,1657,blacks,1,False
906,1660,blacks,10,True
907,1664,whites,8,False
908,1665,blacks,6,False
909,1666,whites,1,True
910,1667,whites,5,True
911,1668,blacks,9,False
912,1669,whites,10,True
913,1670,blacks,6,True
914,1672,blacks,8,False
915,1673,whites,7,True
916,1674,blacks,2,False
917,1676,whites,3,False
918,1678,blacks,1,False
919,1680,whites,2,False
920,1681,blacks,2,False
921,1682,whites,1,False
922,1683,blacks,7,True
923,1684,whites,7,False
924,1686,blacks,5,True
925,1688,blacks,8,True
926,1689,whites,1,True
927,1691,whites,10,False
928,1692,whites,1,False
929,1698,whites,3,False
930,1699,whites,2,False
931,1700,blacks,3,True
932,1701,blacks,8,True
933,1702,blacks,9,True
934,1704,whites,1,True
935,1705,blacks,5,False
936,1706,blacks,5,True
937,1707,blacks,2,False
938,1709,blacks,9,True
939,1710,whites,2,False
940,1711,whites,1,False
941,1714,whites,10,False
942,1715,blacks,6,True
943,1716,whites,4,False
944,1717,blacks,6,True
945,1718,blacks,9,True
946,1719,blacks,1,True
947,1724,whites,6,True
948,1727,blacks,1,False
949,1728,whites,9,True
950,1729,blacks,2,True
951,1730,blacks,4,False
952,1731,whites,1,False
953,1733,whites,7,False
954,1734,whites,1,False
955,1735,whites,1,False
956,1736,blacks,7,False
957,1737,blacks,9,False
958,1741,blacks,6,True
959,1746,whites,3,True
960,1747,whites,5,False
961,1749,whites,1,False
962,1750,whites,3,True
963,1752,whites,7,False
964,1754,whites,1,False
965,1755,blacks,7,False
966,1756,whites,2,True
967,1757,whites,1,False
968,1759,whites,9,True
969,1760,whites,5,True
970,1764,whites,4,False
971,1765,blacks,10,False
972,1768,blacks,1,False
973,1770,blacks,2,True
974,1774,whites,2,False
975,1776,blacks,9,True
976,1777,blacks,7,False
977,1780,blacks,5,False
978,1781,whites,3,False
979,1786,blacks,9,False
980,1787,blacks,5,False
981,1791,blacks,8,True
982,1794,blacks,2,False
983,1796,blacks,3,True
984,1797,blacks,9,True
985,1798,blacks,7,True
986,1800,blacks,5,False
987,1801,blacks,3,False
988,1803,whites,4,False
989,1804,blacks,4,False
990,1805,blacks,5,True
991,1806,whites,5,True
992,1816,whites,10,True
993,1817,blacks,4,True
994,1820,blacks,1,False
995,1821,whites,3,False
996,1822,whites,3,True
997,1826,whites,1,False
998,1827,blacks,7,False
999,1829,whites,5,False
1000,1830,blacks,10,True
1001,1832,blacks,10,False
1002,1834,whites,4,False
1003,1840,whites,2,False
1004,1841,whites,3,False
1005,1844,whites,6,True
1006,1845,blacks,2,False
1007,1846,blacks,9,False
1008,1847,blacks,1,False
1009,1848,whites,2,True
1010,1849,blacks,6,True
1011,1850,blacks,6,True
1012,1852,blacks,7,True
1013,1853,whites,4,False
1014,1854,blacks,4,False
1015,1856,whites,4,False
1016,1859,blacks,3,False
1017,1860,whites,6,True
1018,1861,blacks,8,True
1019,1862,blacks,2,True
1020,1863,blacks,6,True
1021,1864,blacks,2,False
1022,1865,whites,1,False
1023,1868,blacks,9,False
1024,1869,whites,1,False
1025,1870,blacks,3,False
1026,1871,blacks,8,True
1027,1872,blacks,1,False
1028,1873,whites,3,False
1029,1874,whites,4,False
1030,1875,whites,8,True
1031,1876,whites,3,False
1032,1877,blacks,5,True
1033,1879,blacks,9,False
1034,1881,blacks,1,True
1035,1882,blacks,9,True
1036,1886,blacks,3,False
1037,1888,blacks,5,False
1038,1890,blacks,4,True
1039,1893,whites,8,False
1040,1894,blacks,2,True
1041,1895,blacks,10,True
1042,1897,whites,7,True
1043,1900,whites,5,True
1044,1901,whites,1,True
1045,1904,blacks,4,False
1046,1906,whites,4,False
1047,1907,blacks,3,True
1048,1908,whites,10,True
1049,1909,whites,2,False
1050,1910,whites,1,True
1051,1913,blacks,4,False
1052,1914,blacks,5,False
1053,1915,blacks,8,True
1054,1916,whites,2,False
1055,1917,whites,3,False
1056,1919,whites,1,True
1057,1921,blacks,6,True
1058,1923,whites,6,True
1059,1924,blacks,10,True
1060,1926,whites,2,False
1061,1927,blacks,3,True
1062,1930,whites,3,False
1063,1931,whites,1,False
1064,1938,whites,5,False
1065,1939,whites,2,True
1066,1941,blacks,1,False
1067,1942,whites,1,False
1068,1943,blacks,3,True
1069,1945,blacks,2,False
1070,1948,whites,1,False
1071,1951,blacks,3,False
1072,1952,blacks,6,False
1073,1954,whites,1,True
1074,1957,whites,1,False
1075,1961,whites,8,True
1076,1965,blacks,9,True
1077,1967,blacks,2,False
1078,1971,blacks,5,False
1079,1972,whites,2,False
1080,1974,blacks,1,False
1081,1976,whites,5,True
1082,1980,blacks,4,False
1083,1983,blacks,1,False
1084,1984,blacks,8,True
1085,1985,whites,1,False
1086,1987,whites,2,False
1087,1990,blacks,1,True
1088,1991,blacks,9,True
1089,1993,whites,7,True
1090,1994,whites,10,True
1091,1995,whites,1,True
1092,1999,blacks,1,False
1093,2002,whites,5,False
1094,2006,blacks,8,True
1095,2009,blacks,4,True
1096,2010,blacks,3,False
1097,2014,whites,2,False
1098,2018,blacks,10,True
1099,2019,blacks,8,True
1100,2024,whites,5,False
1101,2026,blacks,2,True
1102,2027,blacks,7,True
1103,2029,blacks,3,False
1104,2033,blacks,4,False
1105,2034,whites,2,False
1106,2035,blacks,4,True
1107,2036,blacks,10,True
1108,2037,blacks,2,False
1109,2042,blacks,1,False
1110,2045,whites,3,False
1111,2047,blacks,5,True
1112,2048,blacks,10,True
1113,2049,blacks,4,True
1114,2051,whites,7,True
1115,2052,whites,1,False
1116,2053,blacks,7,False
1117,2054,whites,2,False
1118,2055,blacks,9,False
1119,2056,blacks,4,False
1120,2057,blacks,9,True
1121,2058,blacks,7,True
1122,2060,blacks,5,True
1123,2061,blacks,2,True
1124,2062,blacks,4,False
1125,2064,blacks,6,True
1126,2065,whites,2,False
1127,2066,whites,4,False
1128,2069,blacks,3,False
1129,2070,blacks,8,False
1130,2071,blacks,9,True
1131,2072,whites,1,False
1132,2075,whites,6,False
1133,2076,blacks,10,True
1134,2077,blacks,7,False
1135,2078,whites,5,True
1136,2079,blacks,2,False
1137,2083,blacks,8,True
1138,2085,whites,2,True
1139,2087,blacks,6,True
1140,2089,blacks,1,False
